0;2018-04-13 19:10:14.347392;Beckenbauer impregnerar Barbara Becker
0;2018-04-13 19:10:14.347392;Kollapsade högsta skyskrapa i världen
0;2018-04-13 19:10:14.347392;Finland är mästare i beachvolley världen
0;2018-04-13 19:10:14.347392;Desarmerar bomb på Stachus
0;2018-04-13 19:10:14.347392;150. fredsdagen i Augsburg
0;2018-04-13 19:10:14.347887;Läkemedlets rakhyvlar speciellt för över 100 år
0;2018-04-13 19:10:14.347887;Etablerad filmindustrin
0;2018-04-13 19:10:14.347887;Steinhauer bygger Domen
0;2018-04-13 19:10:14.347887;ECB sålde 37 ton guld
0;2018-04-13 19:10:14.347887;1: a sändningen av Wetten Dass
0;2018-04-13 19:10:14.347887;Den snabbaste kaffe
0;2018-04-13 19:10:14.347887;Crashed Rainmaker
1;2018-04-13 19:10:28.657197;Sandstorm i Sahara
1;2018-04-13 19:10:28.657197;Strömavbrott i Las Vegas
1;2018-04-13 19:10:28.657197;Flood i Japan
1;2018-04-13 19:10:28.657197;Röd Grön Gul ny order vid trafikljus
1;2018-04-13 19:10:28.657197;Jousting i Norge
1;2018-04-13 19:10:28.657197;Championship of Public Speaking
1;2018-04-13 19:10:28.657197;Bang i Berlin
1;2018-04-13 19:10:28.657197;Rynkiga nattfjärilar
1;2018-04-13 19:10:28.657197;Städat toaletten
1;2018-04-13 19:10:28.657197;Avskaffat dödsstraffet
1;2018-04-13 19:10:28.657197;Auktion av Deutsches Museum
1;2018-04-13 19:10:28.657197;Donation av en moské
2;2018-04-13 19:10:41.731788;Blåst banken
2;2018-04-13 19:10:41.731788;Korsning mellan kanin och elefanten förvaltade
2;2018-04-13 19:10:41.731788;Största Prison Break historia
2;2018-04-13 19:10:41.731788;Uppror i Hongkong
2;2018-04-13 19:10:41.731788;Flugschautag i Alpia
2;2018-04-13 19:10:41.731788;Film Starta spår XIV
2;2018-04-13 19:10:41.731788;Brockhaus byggs från gamla uppslagsverk
2;2018-04-13 19:10:41.731788;Grown eukalyptus träd med godis
2;2018-04-13 19:10:41.731788;Vodka med persikosmak
2;2018-04-13 19:10:41.731788;Avskaffat dödsstraffet
2;2018-04-13 19:10:41.731788;Spanien förklarar oberoendet
2;2018-04-13 19:10:41.731788;Sunk piratskepp
3;2018-04-13 19:10:54.888903;Oljeutsläpp i Galileen
3;2018-04-13 19:10:54.888903;Rest upp minnespost
3;2018-04-13 19:10:54.888903;Hope dör
3;2018-04-13 19:10:54.888903;vit svart pulver tillgängligt
3;2018-04-13 19:10:54.888903;Bushs val som president avbryts
3;2018-04-13 19:10:54.888903;Minnes idrottsman minns 1000 namn
3;2018-04-13 19:10:54.888903;Luxemburg ockupera Frankrike
3;2018-04-13 19:10:54.888903;Kaos teori presenteras i stadshuset
3;2018-04-13 19:10:54.888903;Playboy chef med 81 år Far
3;2018-04-13 19:10:54.888903;Indianer upptäckte Europa
3;2018-04-13 19:10:54.888903;Kvinnan bodde 2 år på Sequoia
3;2018-04-13 19:10:54.888903;Avliden Johannes Döparen
4;2018-04-13 19:11:07.999587;Uppfinning av enkelriktad gata
4;2018-04-13 19:11:07.999587;Ententanz i Kölnerdomen
4;2018-04-13 19:11:07.999587;Hexentanz på Maienplatz
4;2018-04-13 19:11:07.999587;De första elektroniska pennor
4;2018-04-13 19:11:07.999587;Konsumtionen går tillbaka
4;2018-04-13 19:11:07.999587;Avskaffat hjärntvätt som förhörsmetod
4;2018-04-13 19:11:07.999587;Alger hotar att tippa Bodensee
4;2018-04-13 19:11:07.999587;USA förklarade en naturreservat
4;2018-04-13 19:11:07.999587;Mat piller erövrar världen
4;2018-04-13 19:11:07.999587;John Hester: s 914 år gammal
4;2018-04-13 19:11:07.999587;Största Cake Världen
4;2018-04-13 19:11:07.999587;Schmidt memorerade 1 miljon siffror av Pi
5;2018-04-13 19:11:21.132879;Founded hemligt sällskap
5;2018-04-13 19:11:21.132879;Oxford döptes Michael Jackson
5;2018-04-13 19:11:21.132879;Tilldelade medaljer
5;2018-04-13 19:11:21.132879;Safari show på Olympiastadion
5;2018-04-13 19:11:21.132879;Eisvogelzuchtprogramm startade i Bayern
5;2018-04-13 19:11:21.132879;Peace of Ramses
5;2018-04-13 19:11:21.132879;Utvecklad exakt klocka i världen
5;2018-04-13 19:11:21.132879;Dolt solljus
5;2018-04-13 19:11:21.132879;Övergång till Barbarossa
5;2018-04-13 19:11:21.132879;Beslutade mobilisering i Europa
5;2018-04-13 19:11:21.132879;Italienarna målade bilden "Noma Sila"
5;2018-04-13 19:11:21.132879;Sparkad kollega
6;2018-04-13 19:11:34.234581;Byggandet av den största vinkällaren
6;2018-04-13 19:11:34.234581;Upptäckten av en stjärna
6;2018-04-13 19:11:34.234581;Kina lägenheter
6;2018-04-13 19:11:34.234581;Renovering av internationella museum
6;2018-04-13 19:11:34.234581;Kriget i Sahara
6;2018-04-13 19:11:34.234581;War of the Roses med tulpaner
6;2018-04-13 19:11:34.234581;Största födelsedagsfest med 10000 personer
6;2018-04-13 19:11:34.234581;Rådet i Worms
6;2018-04-13 19:11:34.234581;Cow Goat tillför världen
6;2018-04-13 19:11:34.234581;Grundare av Konstföreningen
6;2018-04-13 19:11:34.234581;första transplantationen av hjärnan
6;2018-04-13 19:11:34.234581;SMS från da Vinci 500 år för sent
7;2018-04-13 19:11:47.396339;Byggd stor behållare
7;2018-04-13 19:11:47.396339;Införande av topplistan
7;2018-04-13 19:11:47.396339;Torn skyskrapa
7;2018-04-13 19:11:47.396339;Avbruten presidentval i Belize
7;2018-04-13 19:11:47.396339;9. byggda latrine
7;2018-04-13 19:11:47.396339;Trasiga kort Sprint Världsrekord
7;2018-04-13 19:11:47.396339;Mayer memorerade 1 miljon siffror av Pi
7;2018-04-13 19:11:47.396339;Fokus massmördare
7;2018-04-13 19:11:47.396339;Krig är ett helvete
7;2018-04-13 19:11:47.396339;Barnens Bageri med kocken Markus
7;2018-04-13 19:11:47.396339;Pengar ransone
7;2018-04-13 19:11:47.396339;Arrested berömda politiker
8;2018-04-13 19:12:00.582376;Först spelkort med 4 färger
8;2018-04-13 19:12:00.582376;Upptäckt nya inlärningsmetoder
8;2018-04-13 19:12:00.582376;Princess Clara Bella född
8;2018-04-13 19:12:00.582376;Utbröt vulkanen "Hög eld" i Colorado
8;2018-04-13 19:12:00.582376;Vind vänder hjulet
8;2018-04-13 19:12:00.582376;Nobels fredspris för Hatkimutschu
8;2018-04-13 19:12:00.582376;tolfte Blind VM
8;2018-04-13 19:12:00.582376;Tillplattat argbigga
8;2018-04-13 19:12:00.582376;Kyrkogårdar avskaffas
8;2018-04-13 19:12:00.582376;Pingvin i öknen
8;2018-04-13 19:12:00.582376;Born Pumuckel
8;2018-04-13 19:12:00.582376;Klondike Gold Rush
9;2018-04-13 19:12:13.665962;Bomber på Bratislava
9;2018-04-13 19:12:13.665962;Karnevalen i Rio
9;2018-04-13 19:12:13.665962;Helikopter är på höjdrekord
9;2018-04-13 19:12:13.665962;Italienarna målade bilden "Noma Sila"
9;2018-04-13 19:12:13.665962;Flyg kompenseras tidsmaskin
9;2018-04-13 19:12:13.665962;Kraftproduktion med vulkaner
9;2018-04-13 19:12:13.665962;Införda bestsellerlistorna
9;2018-04-13 19:12:13.665962;Öppnar 1 station på Mars
9;2018-04-13 19:12:13.665962;5 veckor regn
9;2018-04-13 19:12:13.665962;Turkiska örlogsfartyg sätter segel
9;2018-04-13 19:12:13.665962;Människor dör ut
